Signal,Id,Type,DataType,Complex,Unit,Min,Max,Desc,Enum,Sensor,Actuator,instances
Vehicle.VehicleIdentification.vehicleSeatingCapacity,"","attribute","uint16","False","","","","The number of passengers that can be seated in the vehicle, both in terms of the physical space available, and in terms of limitations set by law.","","","",[]
Vehicle.VehicleIdentification.vehicleSpecialUsage,"","attribute","string","False","","","","Indicates whether the vehicle has been used for special purposes, like commercial rental, driving school.","","","",[]
Vehicle.VehicleIdentification.vehicleinteriorColor,"","attribute","string","False","","","","A short text indicating the configuration of the vehicle, e.g. '5dr hatchback ST 2.5 MT 225 hp' or 'limited edition'.","","","",[]
Vehicle.VehicleIdentification.vehicleinteriorType,"","attribute","string","False","","","","The type or material of the interior of the vehicle (e.g. synthetic fabric, leather, wood, etc.).","","","",[]
Vehicle.VehicleIdentification.knownVehicleDamages,"","attribute","string","False","","","","A textual description of known damages, both repaired and unrepaired.","","","",[]
Vehicle.IgnitionOnTime,"","sensor","uint32","False","s","","","Accumulated ignition on time in seconds.","","","",[]
Vehicle.IgnitionOffTime,"","sensor","uint32","False","s","","","Accumulated ignition off time in seconds.","","","",[]
Vehicle.DriveTime,"","sensor","uint32","False","s","","","Accumulated drive time in seconds.","","","",[]
Vehicle.IdleTime,"","sensor","uint32","False","s","","","Accumulated idle time in seconds.","","","",[]
Vehicle.Speed,"","sensor","int32","False","km/h","-250","250","Vehicle speed, as sensed by the gearbox.","","","",[]
Vehicle.TravelledDistance,"","sensor","float","False","km","","","Odometer reading","","","",[]
Vehicle.TripMeterReading,"","sensor","float","False","km","","","Current trip meter reading","","","",[]
Vehicle.AmbientAirTemperature,"","sensor","float","False","celsius","","","Ambient air temperature","","","",[]
Vehicle.IsMoving,"","sensor","boolean","False","","","","Indicates whether the vehicle is stationary or moving","","","",[]
Vehicle.AverageSpeed,"","sensor","int32","False","km/h","-250","250","Average speed for the current trip","","","",[]
Vehicle.Acceleration,"","branch","","False","","","","Spatial acceleration","","",""
Vehicle.Acceleration.Longitudinal,"","sensor","int32","False","m/s2","","","Vehicle acceleration in X (longitudinal acceleration).","","","",[]
Vehicle.Acceleration.Lateral,"","sensor","int32","False","m/s2","","","Vehicle acceleration in Y (lateral acceleration).","","","",[]
Vehicle.Acceleration.Vertical,"","sensor","int32","False","m/s2","","","Vehicle acceleration in Z (vertical acceleration).","","","",[]
Vehicle.AngularVelocity,"","branch","","False","","","","Spatial rotation","","",""
Vehicle.AngularVelocity.Roll,"","sensor","int16","False","degrees/s","","","Vehicle rotation rate along X (longitudinal).","","","",[]
Vehicle.AngularVelocity.Pitch,"","sensor","int16","False","degrees/s","","","Vehicle rotation rate along Y (lateral).","","","",[]
Vehicle.AngularVelocity.Yaw,"","sensor","int16","False","degrees/s","","","Vehicle rotation rate along Z (vertical).","","","",[]
Vehicle.RoofLoad,"","attribute","int16","False","kg","","","The permitted total weight of cargo and installations (e.g. a roof rack) on top of the vehicle.","","","",[]
Vehicle.accelerationTime,"","attribute","int16","False","sec","","","The time needed to accelerate the vehicle from a given start velocity to a given target velocity.","","","",[]
Vehicle.cargoVolume,"","attribute","int16","False","litres","0","100","The available volume for cargo or luggage. For automobiles, this is usually the trunk volume.","","","",[]
Vehicle.emissionsCO2,"","attribute","int16","False","g/km","","","The CO2 emissions in g/km.","","","",[]
Vehicle.Private,"","branch","","False","","","","Uncontrolled branch where non-public signals can be defined.","","",""
Vehicle.Media,"","branch","","False","","","","Media service data.","","",""
Vehicle.Drivetrain,"","branch","","False","","","","Drivetrain data for internal combustion engines, transmissions, electric motors, etc.","","",""
Vehicle.Drivetrain.InternalCombustionEngine,"","branch","","False","","","","Engine-specific data, stopping at the bell housing.","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Displacement,"","attribute","uint16","False","cm3","","","Displacement in cubic centimetres.","","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.Configuration,"","attribute","string","False","","","","Engine configuration.","unknown / straight / V / boxer / W / rotary / radial / square / H / U / opposed / X","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.MaxPower,"","attribute","uint16","False","kw","","","Peak power, in kilowatts, that engine can generate.","","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.MaxTorque,"","attribute","uint16","False","N.m","","","Peak power, in newton meter, that the engine can generate.","","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.FuelType,"","attribute","string","False","","","","Type of fuel that the engine runs on.","unknown / gasoline / diesel / E85 / CNG","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.Engine,"","branch","","False","","","","Engine signals","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Engine.Speed,"","sensor","uint16","False","rpm","0","20000","Engine speed measured as rotations per minute.","","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.Engine.ECT,"","sensor","int16","False","celsius","-50","200","Engine coolant temperature.","","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.Engine.EOT,"","sensor","int16","False","celsius","-50","300","Engine oil temperature.","","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.Engine.MAP,"","sensor","int16","False","kpa","0","1000","Manifold air pressure possibly boosted using forced induction.","","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.Engine.MAF,"","sensor","int16","False","g/s","0","3000","Grams of air drawn into engine per second.","","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.Engine.TPS,"","sensor","int8","False","percent","0","100","Current throttle position.","","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.Engine.EOP,"","sensor","int16","False","kpa","0","1000","Engine oil pressure.","","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.Engine.Power,"","sensor","int16","False","kW","0","2000","Current engine power output.","","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.Engine.Torque,"","sensor","int16","False","N.m","0","3000","Current engine torque.","","","",[]
Vehicle.Drivetrain.InternalCombustionEngine.Engine.AmbientAirTemperature,"","sensor","float","False","celsius","","","Ambient (Outside) air temperature","","","",[]
Vehicle.Drivetrain.Transmission,"","branch","","False","","","","Transmission-specific data, stopping at the drive shafts.","","",""
Vehicle.Drivetrain.Transmission.Type,"","attribute","string","False","","","","Transmission type.","unknown / sequential / H / automatic / DSG / CVT","","",[]
Vehicle.Drivetrain.Transmission.GearCount,"","attribute","uint8","False","","","","Number of forward gears in the transmission. -1 = CVT.","","","",[]
Vehicle.Drivetrain.Transmission.DriveType,"","attribute","string","False","","","","Drive type.","unknown / forward wheel drive / rear wheel drive / all wheel drive","","",[]
Vehicle.Drivetrain.Transmission.Speed,"","sensor","int32","False","km/h","-250","250","Vehicle speed, as sensed by the gearbox.","","","",[]
Vehicle.Drivetrain.Transmission.TravelledDistance,"","sensor","float","False","km","","","Odometer reading","","","",[]
Vehicle.Drivetrain.Transmission.Gear,"","actuator","int8","False","","-1","16","Current gear. 0=Neutral. -1=Reverse","","","",[]
Vehicle.Drivetrain.Transmission.PerformanceMode,"","actuator","string","False","","","","Current gearbox performance mode.","normal / sport / economy / snow / rain","","",[]
Vehicle.Drivetrain.Transmission.GearChangeMode,"","actuator","string","False","","","","Is the gearbox in automatic or manual (paddle) mode.","manual / automatic","","",[]
Vehicle.Drivetrain.Transmission.Temperature,"","sensor","int16","False","celsius","-50","200","The current gearbox temperature","","","",[]
Vehicle.Drivetrain.Transmission.ClutchWear,"","sensor","uint8","False","percent","","","Clutch wear as a percent. 0 = no wear. 100 = worn.","","","",[]
Vehicle.Drivetrain.ElectricMotor,"","branch","","False","","","","Electric Motor specific data.","","",""
Vehicle.Drivetrain.BatteryManagement,"","branch","","False","","","","Battery Management data.","","",""
Vehicle.Drivetrain.BatteryManagement.BatteryTemperature,"","sensor","float","False","celsius","","","Temperature of the battery pack","","","",[]
Vehicle.Drivetrain.BatteryManagement.BatteryCapacity,"","sensor","int8","False","percent","0","100","Remaining capacity of the batter pack","","","",[]
Vehicle.Drivetrain.BatteryManagement.LowBatteryLevel,"","sensor","Boolean","False","","","","Indicates that the battery level is low","","","",[]
Vehicle.Drivetrain.BatteryManagement.ChargingInlet,"","attribute","string","False","","","","Indicates the primary charging inlet type fitted to the vehicle","unknown / Not_Fitted / AC_Type_1 / AC_Type_2 / AC_GBT / AC_DC_Type_1_Combo / AC_DC_Type_2_Combo / DC_GBT / DC_Chademo","","",[]
Vehicle.Drivetrain.FuelSystem,"","branch","","False","","","","Fuel system data.","","",""
Vehicle.Drivetrain.FuelSystem.FuelType,"","attribute","string","False","","","","Defines the fuel type of the vehicle","unknown / gasoline / diesel / electric / hybrid / E85 / CNG / LPG","","",[]
Vehicle.Drivetrain.FuelSystem.HybridType,"","attribute","string","False","","","","Defines the hybrid type of the vehicle","unknown / not_applicable / stop_start / belt_ISG / CIMG / PHEV","","",[]
Vehicle.Drivetrain.FuelSystem.TankCapacity,"","attribute","uint16","False","l","","","Capacity of the fuel tank in liters","","","",[]
Vehicle.Drivetrain.FuelSystem.Level,"","sensor","uint8","False","percent","0","100","Level in fuel tank as percent of capacity. 0 = empty. 100 = full.","","","",[]
Vehicle.Drivetrain.FuelSystem.Range,"","sensor","uint32","False","m","","","Range in meters.","","","",[]
Vehicle.Drivetrain.FuelSystem.InstantConsumption,"","sensor","float","False","l/100km","0","","Current consumption in liters per 100 km.","","","",[]
Vehicle.Drivetrain.FuelSystem.AverageConsumption,"","sensor","float","False","l/100km","0","","Average consumption in liters per 100 km.","","","",[]
Vehicle.Drivetrain.FuelSystem.ConsumptionSinceStart,"","sensor","float","False","l","","","Fuel amount consumed since start in liters.","","","",[]
Vehicle.Drivetrain.FuelSystem.TimeSinceStart,"","sensor","uint32","False","s","","","Time elapsed since start in seconds.","","","",[]
Vehicle.Drivetrain.FuelSystem.EngineStopStartEnabled,"","sensor","boolean","False","","","","Indicates whether eco start stop is currently enabled","","","",[]
Vehicle.Drivetrain.FuelSystem.LowFuelLevel,"","sensor","boolean","False","","","","Indicates that the fuel level is low (e.g. <50km range)","","","",[]
Vehicle.Drivetrain.FuelCell,"","branch","","False","","","","Fuel Cell data.","","",""
Vehicle.Body,"","branch","","False","","","","All body components.","","",""
Vehicle.Body.BodyType,"","attribute","string","False","","","","Body type code as defined by ISO 3779","","","",[]
Vehicle.Body.RefuelPosition,"","attribute","string","False","","","","Location of the fuel cap or charge port","front_left / front_right / middle_left / middle_right / rear_left / rear_right","","",[]
Vehicle.Body.Hood,"","branch","","False","","","","Hood status","","",""
Vehicle.Body.Hood.IsOpen,"","actuator","boolean","False","","","","hood open or closed. True = Open. False = Closed","","","",[]
Vehicle.Body.Trunk,"","branch","","False","","","","Trunk status","","",""
Vehicle.Body.Trunk.IsOpen,"","actuator","boolean","False","","","","Trunk open or closed. True = Open. False = Closed","","","",[]
Vehicle.Body.Trunk.IsLocked,"","actuator","boolean","False","","","","Is trunk locked or unlocked. True = Locked. False = Unlocked.","","","",[]
Vehicle.Body.Horn,"","branch","","False","","","","Horn signals","","",""
Vehicle.Body.Horn.IsActive,"","actuator","boolean","False","","","","Horn active or inactive. True = Active. False = Inactive.","","","",[]
Vehicle.Body.Raindetection,"","branch","","False","","","","Rainsensor signals","","",""
Vehicle.Body.Raindetection.intensity,"","sensor","uint8","False","percent","","","Rain intensity. 0 = Dry, No Rain. 100 = Covered.","","","",[]
Vehicle.Body.Windshield,"","branch","","False","","","","Windshield signals","","",""
Vehicle.Body.Windshield.Wiping,"","branch","","False","","","","Front windshield wiper signals","","",""
Vehicle.Body.Windshield.Wiping.Status,"","actuator","string","True","","","","Front wiper status","off / slow / medium / fast / interval / rainsensor","","",[['Front', 'Rear']]
Vehicle.Body.Windshield.Wiping.Status.Front,"","actuator","string","False","","","","Front wiper status","off / slow / medium / fast / interval / rainsensor","","",
Vehicle.Body.Windshield.Wiping.Status.Rear,"","actuator","string","False","","","","Front wiper status","off / slow / medium / fast / interval / rainsensor","","",
Vehicle.Body.Windshield.Heating,"","branch","","False","","","","Front windshield heater signals","","",""
Vehicle.Body.Windshield.Heating.Status,"","actuator","boolean","True","","","","Front windshield heater status. 0 - off, 1 - on","","","",[['Front', 'Rear']]
Vehicle.Body.Windshield.Heating.Status.Front,"","actuator","boolean","False","","","","Front windshield heater status. 0 - off, 1 - on","","","",
Vehicle.Body.Windshield.Heating.Status.Rear,"","actuator","boolean","False","","","","Front windshield heater status. 0 - off, 1 - on","","","",
Vehicle.Body.Windshield.WasherFluid,"","branch","","False","","","","Front windshield washer fluid signals","","",""
Vehicle.Body.Windshield.WasherFluid.LevelLow,"","sensor","boolean","True","","","","Low level indication for washer fluid. True = Level Low. False = Level OK.","","","",[['Front', 'Rear']]
Vehicle.Body.Windshield.WasherFluid.LevelLow.Front,"","sensor","boolean","False","","","","Low level indication for washer fluid. True = Level Low. False = Level OK.","","","",
Vehicle.Body.Windshield.WasherFluid.LevelLow.Rear,"","sensor","boolean","False","","","","Low level indication for washer fluid. True = Level Low. False = Level OK.","","","",
Vehicle.Body.Windshield.WasherFluid.Level,"","sensor","uint8","True","percent","","","Washer fluid level as a percent. 0 = Empty. 100 = Full.","","","",[['Front', 'Rear']]
Vehicle.Body.Windshield.WasherFluid.Level.Front,"","sensor","uint8","False","percent","","","Washer fluid level as a percent. 0 = Empty. 100 = Full.","","","",
Vehicle.Body.Windshield.WasherFluid.Level.Rear,"","sensor","uint8","False","percent","","","Washer fluid level as a percent. 0 = Empty. 100 = Full.","","","",
Vehicle.Body.Lights,"","branch","","False","","","","All lights","","",""
Vehicle.Body.Lights.IsHighBeamOn,"","actuator","boolean","False","","","","Is high beam on","","","",[]
Vehicle.Body.Lights.IsLowBeamOn,"","actuator","boolean","False","","","","Is low beam on","","","",[]
Vehicle.Body.Lights.IsRunningOn,"","actuator","boolean","False","","","","Are running lights on","","","",[]
Vehicle.Body.Lights.IsBackupOn,"","actuator","boolean","False","","","","Is backup (reverse) light on","","","",[]
Vehicle.Body.Lights.IsParkingOn,"","actuator","boolean","False","","","","Is parking light on","","","",[]
Vehicle.Body.Lights.IsBrakeOn,"","actuator","boolean","False","","","","Is brake light on","","","",[]
Vehicle.Body.Lights.IsRearFogOn,"","actuator","boolean","False","","","","Is rear fog light on","","","",[]
Vehicle.Body.Lights.IsFrontFogOn,"","actuator","boolean","False","","","","Is front fog light on","","","",[]
Vehicle.Body.Lights.IsHazardOn,"","actuator","boolean","False","","","","Are hazards on","","","",[]
Vehicle.Body.Lights.IsLeftIndicatorOn,"","actuator","boolean","False","","","","Is left indicator flashing","","","",[]
Vehicle.Body.Lights.IsRightIndicatorOn,"","actuator","boolean","False","","","","Is right indicator flashing","","","",[]
Vehicle.Body.Mirrors,"","branch","","False","","","","All mirrors","","",""
Vehicle.Body.Mirrors.Tilt,"","actuator","int8","True","percent","","","Mirror tilt as a percent. 0 = Center Position. 100 = Fully Upward Position. -100 = Fully Downward Position.","","","",[['Left', 'Right']]
Vehicle.Body.Mirrors.Tilt.Left,"","actuator","int8","False","percent","","","Mirror tilt as a percent. 0 = Center Position. 100 = Fully Upward Position. -100 = Fully Downward Position.","","","",
Vehicle.Body.Mirrors.Tilt.Right,"","actuator","int8","False","percent","","","Mirror tilt as a percent. 0 = Center Position. 100 = Fully Upward Position. -100 = Fully Downward Position.","","","",
Vehicle.Body.Mirrors.Pan,"","actuator","int8","True","percent","","","Mirror pan as a percent. 0 = Center Position. 100 = Fully Left Position. -100 = Fully Right Position.","","","",[['Left', 'Right']]
Vehicle.Body.Mirrors.Pan.Left,"","actuator","int8","False","percent","","","Mirror pan as a percent. 0 = Center Position. 100 = Fully Left Position. -100 = Fully Right Position.","","","",
Vehicle.Body.Mirrors.Pan.Right,"","actuator","int8","False","percent","","","Mirror pan as a percent. 0 = Center Position. 100 = Fully Left Position. -100 = Fully Right Position.","","","",
Vehicle.Body.Mirrors.Heating,"","branch","","False","","","","Mirror heater signals","","",""
Vehicle.Body.Mirrors.Heating.Status,"","actuator","boolean","True","","","","Mirror Heater on or off. True = Heater On. False = Heater Off.","","","",[['Left', 'Right']]
Vehicle.Body.Mirrors.Heating.Status.Left,"","actuator","boolean","False","","","","Mirror Heater on or off. True = Heater On. False = Heater Off.","","","",
Vehicle.Body.Mirrors.Heating.Status.Right,"","actuator","boolean","False","","","","Mirror Heater on or off. True = Heater On. False = Heater Off.","","","",
Vehicle.Cabin,"","branch","","False","","","","All in-cabin components, including doors.","","",""
Vehicle.Cabin.RearShade,"","branch","","False","","","","Rear window shade.","","",""
Vehicle.Cabin.RearShade.Switch,"","actuator","string","False","","","","Switch controlling sliding action such as window, sunroof, or blind.","Inactive / Close / Open / OneShotClose / OneShotOpen","","",[]
Vehicle.Cabin.RearShade.Position,"","actuator","uint8","False","percent","0","100","Position of side window blind. 0 = Fully retracted. 100 = Fully deployed.","","","",[]
Vehicle.Cabin.HVAC,"","branch","","False","","","","Climate control","","",""
Vehicle.Cabin.HVAC.Station,"","branch","","False","","","","HVAC for single station in the vehicle","","",""
Vehicle.Cabin.HVAC.Station.FanSpeed,"","actuator","uint8","True","percent","0","100","Fan Speed, 0 = off. 100 = max","","","",[['Row[1,4]', ['Left', 'Right']]]
Vehicle.Cabin.HVAC.Station.FanSpeed.Row1,"","actuator","uint8","True","percent","0","100","Fan Speed, 0 = off. 100 = max","","","",
Vehicle.Cabin.HVAC.Station.FanSpeed.Row1.Left,"","actuator","uint8","False","percent","0","100","Fan Speed, 0 = off. 100 = max","","","",
Vehicle.Cabin.HVAC.Station.FanSpeed.Row1.Right,"","actuator","uint8","False","percent","0","100","Fan Speed, 0 = off. 100 = max","","","",
Vehicle.Cabin.HVAC.Station.FanSpeed.Row2,"","actuator","uint8","True","percent","0","100","Fan Speed, 0 = off. 100 = max","","","",
Vehicle.Cabin.HVAC.Station.FanSpeed.Row2.Left,"","actuator","uint8","False","percent","0","100","Fan Speed, 0 = off. 100 = max","","","",
Vehicle.Cabin.HVAC.Station.FanSpeed.Row2.Right,"","actuator","uint8","False","percent","0","100","Fan Speed, 0 = off. 100 = max","","","",
Vehicle.Cabin.HVAC.Station.FanSpeed.Row3,"","actuator","uint8","True","percent","0","100","Fan Speed, 0 = off. 100 = max","","","",
Vehicle.Cabin.HVAC.Station.FanSpeed.Row3.Left,"","actuator","uint8","False","percent","0","100","Fan Speed, 0 = off. 100 = max","","","",
Vehicle.Cabin.HVAC.Station.FanSpeed.Row3.Right,"","actuator","uint8","False","percent","0","100","Fan Speed, 0 = off. 100 = max","","","",
Vehicle.Cabin.HVAC.Station.FanSpeed.Row4,"","actuator","uint8","True","percent","0","100","Fan Speed, 0 = off. 100 = max","","","",
Vehicle.Cabin.HVAC.Station.FanSpeed.Row4.Left,"","actuator","uint8","False","percent","0","100","Fan Speed, 0 = off. 100 = max","","","",
Vehicle.Cabin.HVAC.Station.FanSpeed.Row4.Right,"","actuator","uint8","False","percent","0","100","Fan Speed, 0 = off. 100 = max","","","",
Vehicle.Cabin.HVAC.Station.Temperature,"","actuator","int8","True","celsius","-50","50","Temperature","","","",[['Row[1,4]', ['Left', 'Right']]]
Vehicle.Cabin.HVAC.Station.Temperature.Row1,"","actuator","int8","True","celsius","-50","50","Temperature","","","",
Vehicle.Cabin.HVAC.Station.Temperature.Row1.Left,"","actuator","int8","False","celsius","-50","50","Temperature","","","",
Vehicle.Cabin.HVAC.Station.Temperature.Row1.Right,"","actuator","int8","False","celsius","-50","50","Temperature","","","",
Vehicle.Cabin.HVAC.Station.Temperature.Row2,"","actuator","int8","True","celsius","-50","50","Temperature","","","",
Vehicle.Cabin.HVAC.Station.Temperature.Row2.Left,"","actuator","int8","False","celsius","-50","50","Temperature","","","",
Vehicle.Cabin.HVAC.Station.Temperature.Row2.Right,"","actuator","int8","False","celsius","-50","50","Temperature","","","",
Vehicle.Cabin.HVAC.Station.Temperature.Row3,"","actuator","int8","True","celsius","-50","50","Temperature","","","",
Vehicle.Cabin.HVAC.Station.Temperature.Row3.Left,"","actuator","int8","False","celsius","-50","50","Temperature","","","",
Vehicle.Cabin.HVAC.Station.Temperature.Row3.Right,"","actuator","int8","False","celsius","-50","50","Temperature","","","",
Vehicle.Cabin.HVAC.Station.Temperature.Row4,"","actuator","int8","True","celsius","-50","50","Temperature","","","",
Vehicle.Cabin.HVAC.Station.Temperature.Row4.Left,"","actuator","int8","False","celsius","-50","50","Temperature","","","",
Vehicle.Cabin.HVAC.Station.Temperature.Row4.Right,"","actuator","int8","False","celsius","-50","50","Temperature","","","",
Vehicle.Cabin.HVAC.Station.AirDistribution,"","actuator","string","True","","","","Direction of airstream","up / middle / down","","",[['Row[1,4]', ['Left', 'Right']]]
Vehicle.Cabin.HVAC.Station.AirDistribution.Row1,"","actuator","string","True","","","","Direction of airstream","up / middle / down","","",
Vehicle.Cabin.HVAC.Station.AirDistribution.Row1.Left,"","actuator","string","False","","","","Direction of airstream","up / middle / down","","",
Vehicle.Cabin.HVAC.Station.AirDistribution.Row1.Right,"","actuator","string","False","","","","Direction of airstream","up / middle / down","","",
Vehicle.Cabin.HVAC.Station.AirDistribution.Row2,"","actuator","string","True","","","","Direction of airstream","up / middle / down","","",
Vehicle.Cabin.HVAC.Station.AirDistribution.Row2.Left,"","actuator","string","False","","","","Direction of airstream","up / middle / down","","",
Vehicle.Cabin.HVAC.Station.AirDistribution.Row2.Right,"","actuator","string","False","","","","Direction of airstream","up / middle / down","","",
Vehicle.Cabin.HVAC.Station.AirDistribution.Row3,"","actuator","string","True","","","","Direction of airstream","up / middle / down","","",
Vehicle.Cabin.HVAC.Station.AirDistribution.Row3.Left,"","actuator","string","False","","","","Direction of airstream","up / middle / down","","",
Vehicle.Cabin.HVAC.Station.AirDistribution.Row3.Right,"","actuator","string","False","","","","Direction of airstream","up / middle / down","","",
Vehicle.Cabin.HVAC.Station.AirDistribution.Row4,"","actuator","string","True","","","","Direction of airstream","up / middle / down","","",
Vehicle.Cabin.HVAC.Station.AirDistribution.Row4.Left,"","actuator","string","False","","","","Direction of airstream","up / middle / down","","",
Vehicle.Cabin.HVAC.Station.AirDistribution.Row4.Right,"","actuator","string","False","","","","Direction of airstream","up / middle / down","","",
Vehicle.Cabin.HVAC.IsRecirculationActive,"","actuator","boolean","False","","","","Is recirculation active.","","","",[]
Vehicle.Cabin.HVAC.IsFrontDefrosterActive,"","actuator","boolean","False","","","","Is front defroster active.","","","",[]
Vehicle.Cabin.HVAC.IsRearDefrosterActive,"","actuator","boolean","False","","","","Is rear defroster active.","","","",[]
Vehicle.Cabin.HVAC.IsAirConditioningActive,"","actuator","boolean","False","","","","Is Air conditioning active.","","","",[]
Vehicle.Cabin.HVAC.AmbientAirTemperature,"","sensor","float","False","celsius","","","Ambient air temperature","","","",[]
Vehicle.Cabin.Infotainment,"","branch","","False","","","","Infotainment system","","",""
Vehicle.Cabin.Infotainment.Media,"","branch","","False","","","","All Media actions","","",""
Vehicle.Cabin.Infotainment.Media.Action,"","actuator","string","False","","","","Tells if the media was","unknown / Stop / Play / FastForward / FastBackward / SkipForward / SkipBackward","","",[]
Vehicle.Cabin.Infotainment.Media.Played,"","branch","","False","","","","Collection of signals updated in concert when a new media is played","","",""
Vehicle.Cabin.Infotainment.Media.Played.Source,"","actuator","string","False","","","","Media selected for playback","unknown / SiriusXM / AM / FM / DAB / TV / CD / DVD / AUX / USB / Disk / Bluetooth / Internet / Voice / Beep","","",[]
Vehicle.Cabin.Infotainment.Media.Played.Artist,"","sensor","string","False","","","","Name of artist being played","","","",[]
Vehicle.Cabin.Infotainment.Media.Played.Album,"","sensor","string","False","","","","Name of album being played","","","",[]
Vehicle.Cabin.Infotainment.Media.Played.Track,"","sensor","string","False","","","","Name of track being played","","","",[]
Vehicle.Cabin.Infotainment.Media.Played.URI,"","sensor","string","False","","","","User Resource associated with the media","","","",[]
Vehicle.Cabin.Infotainment.Media.DeclinedURI,"","sensor","string","False","","","","URI of suggested media that was declined","","","",[]
Vehicle.Cabin.Infotainment.Media.SelectedURI,"","actuator","string","False","","","","URI of suggested media that was selected","","","",[]
Vehicle.Cabin.Infotainment.Media.Volume,"","actuator","uint8","False","","0","100","Current Media Volume","","","",[]
Vehicle.Cabin.Infotainment.Navigation,"","branch","","False","","","","All navigation actions","","",""
Vehicle.Cabin.Infotainment.Navigation.DestinationSet,"","branch","","False","","","","A navigation has been selected.","","",""
Vehicle.Cabin.Infotainment.Navigation.DestinationSet.Latitude,"","actuator","Double","False","degrees","-90","90","Latitude of destination","","","",[]
Vehicle.Cabin.Infotainment.Navigation.DestinationSet.Longitude,"","actuator","Double","False","degrees","-180","180","Longitude of destination","","","",[]
Vehicle.Cabin.Infotainment.Navigation.CurrentLocation,"","branch","","False","","","","The current latitude and longitude of the vehicle.","","",""
Vehicle.Cabin.Infotainment.Navigation.CurrentLocation.Latitude,"","sensor","Double","False","degrees","-90","90","Current latitude of vehicle, as reported by GPS.","","","",[]
Vehicle.Cabin.Infotainment.Navigation.CurrentLocation.Longitude,"","sensor","Double","False","degrees","-180","180","Current longitude of vehicle, as reported by GPS.","","","",[]
Vehicle.Cabin.Infotainment.Navigation.CurrentLocation.Heading,"","sensor","Double","False","degrees","0","360","Current magnetic compass heading, in degrees.","","","",[]
Vehicle.Cabin.Infotainment.Navigation.CurrentLocation.Accuracy,"","sensor","Double","False","m","","","Accuracy level of the latitude and longitude coordinates in meters.","","","",[]
Vehicle.Cabin.Infotainment.Navigation.CurrentLocation.Altitude,"","sensor","Double","False","m","","","Current elevation of the position in meters.","","","",[]
